player_name,team,year,home_run_rate,label,batting_side,throwing_hand,height,weight,age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,IBB,onbase_plus_slugging,TB,GIDP,HBP,SH,SF
안치홍,기아타이거즈,2018,0.04189435336976321,기아타이거즈-2018-안치홍,R,R,"5' 10""",194,27,130,549,494,88,169,38,1,23,118,5,1,36,57,0.342,0.392,0.563,1,0.954,278,13,10,0,9
백용환,기아타이거즈,2018,0.0,기아타이거즈-2018-백용환,R,R,"5' 10""",209,29,34,57,47,7,13,1,0,0,4,0,1,9,15,0.277,0.393,0.298,0,0.691,14,3,0,1,0
Roger Bernadina,기아타이거즈,2018,0.03389830508474576,기아타이거즈-2018-Roger Bernadina,L,L,"6' 2""",210,34,131,590,513,106,159,25,3,20,70,32,13,63,103,0.31,0.395,0.487,3,0.883,250,9,10,3,1
최형우,기아타이거즈,2018,0.041050903119868636,기아타이거즈-2018-최형우,L,R,"5' 10""",233,34,143,609,528,92,179,34,1,25,103,3,0,66,87,0.339,0.414,0.549,7,0.963,290,17,7,0,8
최정민,기아타이거즈,2018,0.021052631578947368,기아타이거즈-2018-최정민,L,R,"5' 9""",158,29,57,95,83,17,21,2,0,2,6,1,3,7,20,0.253,0.319,0.349,0,0.668,29,2,1,4,0
최원준,기아타이거즈,2018,0.012084592145015106,기아타이거즈-2018-최원준,L,R,"5' 10""",187,21,101,331,302,46,82,14,1,4,32,10,4,20,58,0.272,0.324,0.364,0,0.688,110,4,4,4,1
한승택,기아타이거즈,2018,0.0297029702970297,기아타이거즈-2018-한승택,R,R,"5' 8""",182,24,61,101,89,10,22,6,0,3,15,0,0,7,24,0.247,0.316,0.416,0,0.732,37,4,2,3,0
홍재호,기아타이거즈,2018,0.011494252873563218,기아타이거즈-2018-홍재호,R,R,"5' 10""",174,31,56,87,76,16,20,6,0,1,9,0,0,8,12,0.263,0.333,0.382,0,0.715,29,2,0,3,0
황인준,기아타이거즈,2018,0.0,기아타이거즈-2018-황인준,R,R,"6' 0""",207,26,37,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0
황윤호,기아타이거즈,2018,0.0,기아타이거즈-2018-황윤호,R,R,"5' 9""",171,24,82,62,57,11,9,1,0,0,4,2,2,0,6,0.158,0.2,0.175,0,0.375,10,2,3,2,0
정성훈,기아타이거즈,2018,0.01951219512195122,기아타이거즈-2018-정성훈,R,R,"5' 11""",182,38,88,205,183,22,54,11,0,4,28,0,1,16,49,0.295,0.366,0.421,1,0.787,77,5,5,0,1
김주찬,기아타이거즈,2018,0.03821656050955414,기아타이거즈-2018-김주찬,R,R,"6' 0""",209,37,121,471,429,71,146,23,0,18,93,8,1,23,57,0.34,0.375,0.52,5,0.895,223,15,7,2,10
김주형,기아타이거즈,2018,0.0,기아타이거즈-2018-김주형,R,R,"6' 1""",238,32,6,8,8,0,1,0,0,0,0,0,0,0,1,0.125,0.125,0.125,0,0.25,1,1,0,0,0
김민식,기아타이거즈,2018,0.01643835616438356,기아타이거즈-2018-김민식,L,R,"5' 10""",176,29,125,365,310,53,76,9,3,6,37,5,2,39,63,0.245,0.333,0.352,0,0.685,109,8,3,11,2
김석환,기아타이거즈,2018,0.0,기아타이거즈-2018-김석환,L,L,"6' 1""",213,19,1,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0
김선빈,기아타이거즈,2018,0.008130081300813009,기아타이거즈-2018-김선빈,R,R,"5' 4""",169,28,127,492,424,73,125,17,2,4,49,4,1,48,42,0.295,0.375,0.373,1,0.747,158,10,9,6,5
이범호,기아타이거즈,2018,0.05263157894736842,기아타이거즈-2018-이범호,R,R,"6' 0""",205,36,101,380,332,41,93,7,0,20,69,1,0,42,59,0.28,0.366,0.482,4,0.848,160,12,4,0,2
