id,Name,Team,Position,Birth Date,School,Photo URL,Draft Info,Active Years
1001,구천서 (Chun-Seo Gu),OB,2B,우투우타,옥산초-경운중-신일고,,82 OB 창단 멤버,1982년 ~ 1993년
1002,권두조 (Doo-Jo Kwon),OB,2B,우투우타,부산중앙초-부산동성중-부경고-중앙대,,82 롯데 창단 멤버,1982년 ~ 1987년
1003,금광옥 (Kwang-Ok Geum),태평양,C,우투우타,동산고,,82 삼미 창단 멤버,1982년 ~ 1988년
1004,김경남 (Kyung-Nam Kim),태평양,2B,우투우타,창영초-상인천중-인천고-인하대,,82 삼미 창단 멤버,1982년 ~ 1988년
1005,김봉연 (Bong-Yeon Kim),해태,DH,우투우타,군산상고-연세대,,82 해태 창단 멤버,1982년 ~ 1988년
1006,김성관 (Sung-Kwan Kim),롯데,LF,우투우타,경남고-고려대,,82 롯데 창단 멤버,1982년 ~ 1984년
1007,김용달 (Yong-dal Kim),MBC,3B,우투우타,대구인지초-대구중앙중-대광고-중앙대,,82 MBC 창단 멤버,1982년 ~ 1988년
1008,김용운 (Yong-Woon Kim),롯데,C,우투우타,한밭중-서울동산고,,82 MBC 창단 멤버,1982년 ~ 1990년
1009,김용철 (Yong-Chul Kim),삼성,2B,우투우타,대신중-부산상고,,82 롯데 창단 멤버,1982년 ~ 1992년
1010,김우근 (Woo-Geun Kim),MBC,CF,우투우타,군산상고-건국대,,82 해태 창단 멤버,1982년 ~ 1987년
1011,김우열 (Woo-Yeol Kim),빙그레,CF,우투우타,서울금양초-선린중-선린고,,82 OB 창단 멤버,1982년 ~ 1986년
1012,김인식 (In-Sik Kim),MBC,3B,우투우타,청원고-성균관대,,82 MBC 창단 멤버,1982년 ~ 1988년
1013,김일권 (Il-Kwon Kim),LG,CF,우투우타,군산남초-군산남중-군산상고-한양대,,82 해태 창단 멤버,1982년 ~ 1991년
1014,김정수 (Jung-Soo Kim),청보,1B,좌투좌타,부산고-한양대,,82 롯데 창단 멤버,1982년 ~ 1986년
1015,김준환 (Jun-Hwan Kim),해태,LF,우투우타,군산남중-군산상고,,82 해태 창단 멤버,1982년 ~ 1989년
1016,배대웅 (Dae-Woong Bae),삼성,SS,우투우타,경북고,,82 삼성 창단 멤버,1982년 ~ 1986년
1017,백인천 (In-Chun Baek),롯데,LF,우투우타,경동고,,82 MBC 창단 멤버(감독 겸 선수),1982년 ~ 1984년
1018,송경섭 (Gyeong-Seob Song ),삼미,3B,우투우타,인천고-인하대,,82 삼미 창단 멤버,1982년 ~ 1984년
1019,신경식 (Kyung-Sik Shin),쌍방울,1B,좌투좌타,부산동성초-부산동성중-공주고,,82 OB 창단 멤버,1982년 ~ 1995년
1020,양세종 (Se-jong Yang),OB,3B,우투우타,장충고-연세대,,82 OB 창단 멤버,1982년 ~ 1990년
1021,양승관 (Seung-Kwan Yang),LG,RF,우투우타,인천숭의초-동인천중-인천고-인하대,,82 삼미 창단 멤버,1982년 ~ 1990년
1022,오대석 (Dae-Seok Oh),롯데,2B,우투우타,남도초-경구중-대구상고-한양대,,82 삼성 창단 멤버,1982년 ~ 1991년
1023,윤동균 (Dong-kyun Yoon),OB,LF,좌투좌타,충남중-동대문상고,,82 OB 창단 멤버,1982년 ~ 1989년
1024,이광은 (Kwang-Eun Lee),LG,3B,우투우타,배명중-배재고-연세대,,82 MBC 창단 멤버,1982년 ~ 1991년
1025,이만수 (Man-Soo Lee),삼성,C,우투우타,대구중앙초-대구중-대구상고-한양대,,82 삼성 창단 멤버,1982년 ~ 1997년
1026,이종도 (Jong-Do Lee),OB,RF,우투우타,중앙고-고려대,,82 MBC 창단 멤버,1982년 ~ 1987년
1027,장태수 (Tae-Soo Jang),삼성,CF,우투우타,대구고,,82 삼성 2차 1라운드 4순위,1982년 ~ 1992년
1028,정구왕 (Gu-Wang Jung),청보,CF,우투우타,경상중-경북고-중앙대,,82 삼성 창단 멤버,1982년 ~ 1986년
1029,정영기 (Young-Ki Jung),태평양,SS,우투우타,대전신흥초-한밭중-충암고-영남대,,82 MBC 창단 멤버,1982년 ~ 1990년
1030,조충열 (Chung-Yeol Cho),해태,2B,우투우타,선린고-연세대,,82 해태 창단 멤버,1982년 ~ 1990년
1031,조흥운 (Heung-Woon Cho),청보,SS,우투우타,인천고-건국대,,82 삼미 창단 멤버,1982년 ~ 1986년
1032,차동열 (Dong-Yeol Cha),LG,C,우투우타,경남고,,82 롯데 창단 멤버,1982년 ~ 1991년
1033,차영화 (Young-Hwa Cha),해태,SS,우투우타,광주서림초-전남중-광주제일고,,82 해태 창단 멤버,1982년 ~ 1989년
1034,허규옥 (Kyu-Ok Heo),삼성,LF,좌투좌타,대구대건고-한양대,,82 삼성 창단 멤버,1982년 ~ 1992년
1035,김광수 (Kwang-soo Kim),OB,SS,우투우타,효제초-선린중-선린고-건국대,,82 OB 창단 멤버,1982년 ~ 1992년
1036,김유동 (Yu-Dong Kim),청보,DH,우투우타,동대문상고-한양대,,82 OB 창단 멤버,1982년 ~ 1985년
1037,김한근 (Han-Geun Kim),태평양,3B,우투우타,대구상고-한양대,,82 삼성 창단 멤버,1982년 ~ 1990년
1038,박영진 (Young-Jin Park),삼성,P,우투우타,대구상고-성균관대,,82 삼성 창단 멤버,1982년 ~ 1984년
1039,박정환 (Jung-Hwan Park),삼성,2B,우투우타,경상중-경북고-한양대,,82 삼성 창단 멤버,1982년 ~ 1992년
1040,박종호 (Jong-Ho Park),OB,DH,우투우타,대전고,,82 OB 창단 멤버,1982년 ~ 1982년
1041,박찬 (Chan Park),빙그레,RF,우투우타,경북고,,82 삼성 창단 멤버,1982년 ~ 1986년
1042,서정환 (Jung-Hwan Seo),해태,2B,우투우타,경상중-경북고-건국대,,82 삼성 창단 멤버,1982년 ~ 1989년
1043,손상대 (Sang-Dae Son),삼성,C,우투우타,경복중-경북고-한양대,,82 삼성 창단 멤버,1982년 ~ 1998년
1044,손상득 (Sang-Deuk Son),삼성,C,우투우타,대구중-경북고-고려대,,82 삼성 창단 멤버,1982년 ~ 1988년
1045,유지훤 (Ji-Hwon Yoo),OB,SS,우투우타,대신초-대동중-대광고,,82 OB 창단 멤버,1982년 ~ 1988년
1046,이근식 (Keun-Sik Lee),OB,RF,좌투좌타,충암고-한양대,,82 OB 창단 멤버,1982년 ~ 1986년
1047,이근식 (Keun-Sig Lee),빙그레,RF,좌투좌타,공주고,,82 OB 창단 멤버,1982년 ~ 1986년
1048,이홍범 (Hong-Beom Lee),OB,CF,우투우타,남산초-선린중-장충고,,82 OB 창단 멤버,1982년 ~ 1986년
1049,정종현 (Jong-Hyeon Jeong),OB,C,우투우타,한양대,,82 OB 창단 멤버,1982년 ~ 1987년
1050,정혁진 (Hyeok-Jin Jeong),OB,RF,좌투좌타,고려대,,82 OB 창단 멤버,1982년 ~ 1983년
1051,정현발 (Hyun-Bal Jung),태평양,CF,우투우타,경북고-한양대,,82 삼성 창단 멤버,1982년 ~ 1988년
1052,천보성 (Bo-sung Chun),삼성,2B,우투우타,삼덕초-경운중-경북고-한양대,,82 삼성 창단 멤버,1982년 ~ 1984년
1053,함학수 (Hak-Soo Ham),삼성,1B,우투우타,경북고,,82 삼성 창단 멤버,1982년 ~ 1987년
1054,구재서 (Jae-Seo Koo),OB,LF,우투양타,옥산초-경운중-신일고,,82 OB 창단 멤버,1982년 ~ 1989년
1055,김경훈 (Kyung-Hoon Kim),해태,C,우투우타,신일고,,82 해태 창단 멤버,1982년 ~ 1991년
1056,김구길 (Gu-Gil Kim ),삼미,3B,우투우타,인천고,,82 삼미 창단 멤버,1982년 ~ 1982년
1057,김동철 (Dong-Chul Kim),삼미,P,우투우타,동산고,,82 삼미 창단 멤버,1982년 ~ 1982년
1058,김봉기 (Bong-Gi Kim),MBC,CF,우투우타,휘문고-성균관대,,82 MBC 창단 멤버,1982년 ~ 1987년
1059,김용남 (Yong-Nam Kim),빙그레,P,우투우타,군산초-군산중-군산상고-한양대,,82 해태 창단 멤버,1982년 ~ 1989년
1060,김용만 (Yong-Man Kim),해태,C,우투우타,건국대,,82 해태 2차 1라운드 5순위,1982년 ~ 1982년
1061,김일환 (Il-Hwan Kim),태평양,1B,좌투좌타,대연초-부산동성중-부산고-성균관대,,82 롯데 창단 멤버,1982년 ~ 1989년
1062,김재박 (Jae-Bak Kim),태평양,SS,우투우타,경운중-대광고-영남대,,82 MBC 자유계약,1982년 ~ 1992년
1063,김재상 (Jae-Sang Kim),태평양,LF,우투우타,남부민초-경남중-부경고-영남대,,82 롯데 창단 멤버,1982년 ~ 1991년
1064,김종모 (Jong-Mo Kim),해태,RF,우투우타,서림초-광주동성중-광주상고-영남대,,82 해태 창단 멤버,1982년 ~ 1992년
1065,김종윤 (Jong-Yoon Kim),빙그레,RF,우투우타,대전신흥초-군산중-군산상고-중앙대,,82 해태 창단 멤버,1982년 ~ 1986년
1066,김진철 (Jin-Chul Kim ),삼미,C,우투우타,인천고-인하대,,82 삼미 창단 멤버,1982년 ~ 1982년
1067,김진홍 (Jin-Hong Kim),OB,C,우투우타,대전고-인하대,,82 OB 창단 멤버,1982년 ~ 1989년
1068,김호인 (Ho-In Kim),삼미,CF,우투우타,인천고-단국대,,82 삼미 창단 멤버,1982년 ~ 1982년
1069,김휘욱 (Hwi-Wook Kim),삼성,OF,우투우타,한양대,,82 삼성 창단 멤버,1982년 ~ 1982년
1070,문주모 (Ju-Mo Mun),삼미,CF,우투우타,동산고,,82 삼미 창단 멤버,1982년 ~ 1982년
1071,박상열 (Sang-Yeol Park),OB,P,우투우타,동대문상고,,82 OB 창단 멤버,1982년 ~ 1988년
1072,박용성 (Yong-Sung Park),롯데,RF,우투우타,용마고-동아대,,82 롯데 창단 멤버,1982년 ~ 1988년
1073,박재천 (Jae-Chun Park),빙그레,IF,우투우타,휘문고,,82 MBC 창단 멤버,1982년 ~ 1986년
1074,박전섭 (Jeon-Sub Park),빙그레,C,우투우타,동국대,,82 해태 창단 멤버,1982년 ~ 1987년
1075,박준영 (Jun-Young Park ),삼미,LF,좌투좌타,선린고,,82 삼미 창단 멤버,1982년 ~ 1984년
1076,방수원 (Soo-Won Bang),해태,P,우투우타,광주서림초-광주동성중-광주제일고-영남대,,82 해태 창단 멤버,1982년 ~ 1989년
